experiment,seed,auxiliary_category_losses,trainable_parameters,correct_predictions,total_predictions,validation_accuracy,validation_macro_f1,predicted_classes,predicted_class_distribution,collapsed_to_one_predicted_class,test_split_used,checkpoint_path,predictions_path
selected_multimodal_model,44,True,58579,377,480,0.7854166666666667,0.787284319325806,,saved canonical predictions,False,False,models/selected_multimodal_model.pt,results/validation/selected_model_predictions.csv
relation_only_no_auxiliary,43,False,57923,160,480,0.3333333333333333,0.16666666666666666,1,"{""MATCH"": 480, ""MISMATCH"": 0, ""PARTIAL_MATCH"": 0}",True,False,results/ablation/seed_43/checkpoint.pt,results/ablation/seed_43/validation_predictions.csv
relation_only_no_auxiliary,44,False,57923,160,480,0.3333333333333333,0.16666666666666666,1,"{""MATCH"": 0, ""MISMATCH"": 480, ""PARTIAL_MATCH"": 0}",True,False,results/ablation/seed_44/checkpoint.pt,results/ablation/seed_44/validation_predictions.csv
relation_only_no_auxiliary,45,False,57923,160,480,0.3333333333333333,0.16666666666666666,1,"{""MATCH"": 0, ""MISMATCH"": 480, ""PARTIAL_MATCH"": 0}",True,False,results/ablation/seed_45/checkpoint.pt,results/ablation/seed_45/validation_predictions.csv
